pattern_name,regex,suggested_target,count_UP,count_NEUTRAL,count_DOWN,total_docfreq,purity,example_UP,example_NEUTRAL,example_DOWN
ordinary_self_mockery,(笑死|无语|离谱|尴尬|怪不好意思|嘴比脑子快|理想很丰满现实很骨感),DOWN,40,91,145,276,0.5254,破冰!!! 不要害怕尴尬和口语，is a g || ][害羞R] #有点离谱但别太离谱 #好物都 || ] #有点离谱但别太离谱 #好物都在买,南旅游踩中全部雷 超无语超失望 昆明去了公园 || 体内竟然自带抗体！更离谱的是，丧尸们似乎对英 || 真正的解药！   更离谱的是，联合国紧急成立,不好说教授和学生哪个尴尬 || 要全程这么大声吗 太离谱了 真的太吵太吵太吵 || 离谱！当你在香港把手机滑
negated_achievement,"(没|没有|未|无|别|不|没能|不能|无法).{0,8}(offer|oc|录取|上岸|过面|入职|实习|毕业|拿到|收到)",DOWN,45,22,59,126,0.4683,家的看法！感慨一句，没offer焦虑，有offer了 || 的就业机会相对开放，无论是应届毕业生还是有2-3年工作 || 驴找马，keeta特别快就下offer了，跟mentor确,真的太妙了，完完全全没有ooc，对于布莱克家的描写 ||  - 这几天，应该有不少朋友都收到了《才二十三》的香水 ||  - 这几天，应该有不少朋友都收到了《才二十三》的香水,味简历直奔大厂战略 没想到还真收到了一次大厂面邀 一面 ||  好在过程发挥的还算不错 后续如果给了offer真的就接了（跑路失败 || 双非本科的大三学生，没什么实习经验，成绩也普普通通
blocked_aspiration,"(想|打算|准备|希望|本来想).{0,12}(留学|上岸|考研|考公|面试|入职|变美|瘦|减肥|去).{0,12}(但|但是|结果|却|可惜|失败|没|被拒|不行|不能|无法)",DOWN,19,11,39,69,0.5652,on，本来这个时间你想去问问的外教matt能不能再curve一下这次 || 了拍摄，但是后面还是想去梨花村碰碰运气，结果遇到了浪漫的雨后梨花 || 材料一次性都交上了 打算下周还是没动静的话就去催催 机酒不能白订啊啊啊啊啊啊啊啊,op 50🇭🇰 一直想去打卡的COA总是各种原因没有喝到，去了这家也是 || 苗寨推不推荐去 主要想去黄果树瀑布 还有十七孔 但是 这几个景点都分散 || 🇭🇰23/99 不想出去吃了，下雨天又没法出门买打抛叶（所以,妹 痣多的烦恼有谁懂想去点痣 一直没找到机会會 #畅所欲 || 是让我们私下调解，我想去 总局，但被对方威胁我还在上学 || 妹 痣多的烦恼有谁懂想去点痣 一直没找到机会會 #畅所欲
appearance_anxiety,"(容貌|身材|体重|脸|腿|腰|肚子|屁股|皮肤|痘|脱发).{0,12}(焦虑|自卑|丑|胖|不敢|崩溃|暴食|反弹)",DOWN,10,7,18,35,0.5143,路历程： 我18岁时体重100斤，因对外形的自卑，节食瘦到92斤，维 || 不要再身材焦虑了哈哈哈 #大可不必 || 🏻 不过我之前也会有容貌焦虑身材焦虑 当时谈恋爱小心翼翼,围感 #ootd #容貌焦虑 #海边拍照 || 好喜欢我的小肚 #身材 #微胖女孩 #肚肚 || 的姐姐好像卢靖姗！（脸盲不敢认 直到听到姐姐有讲, #大方展示美丽 #脸和身高各长各的 #微胖 || 容貌焦虑😭 觉得自己丑，但又 || 看吗 #改善法令纹#容貌焦虑#岁月不饶人#帮我看
family_control,"(父母|妈妈|爸爸|家里|原生家庭).{0,12}(控制|逼|骂|不让|不同意|道德绑架|窒息|否定)",DOWN,0,0,31,31,1.0,,,妈妈令我窒息[可怜R]，二十一岁 || 不开心我都会讨厌他，爸爸老是骂你气你，我就恨他，弟 || 自己是不婚主义但是父母已死相逼让你结婚  #不婚主
self_other_gap,"(别人|同龄人|身边人|朋友|室友|同学).{0,12}(都|已经|全|也).{0,12}(我|自己).{0,12}(却|还|没|没有|只能|不行)",DOWN,5,1,17,23,0.7391,做凭什么我做? 6.别人做的我不做，别人都做了我还做什么? 学会这六个 || 津发现讨论课更多了，同学发言也很踊跃，但我还是持有一样的心态，也 || 经尽力了。 - 身边朋友都在下个人生阶段了，而我还在为当年的执念买单，,尴不尴尬，狗不会在意别人的看法，狗的世界里的一切都是以自己出发的，狗没有看法，狗的幸福非常,一开始只是好奇学校的同学们都点什么吃的 最后发现 自己饿了或者无聊了 没事下楼 挑一些喜欢吃 || 了上半身 我很懵 我朋友也很诧异的看着我但我真的没有干什么 感觉这杆子 || 是我刻意夹它整断的 朋友 这杆子头都是黑的你跟我说其他人没用过就我用了 你说啥
