candidate,best_label,score,total_docs,share_best,count_UP,count_DOWN,count_NEUTRAL
不知道,DOWN,357.7317,737,0.585,146,431,160
也没,DOWN,273.8353,561,0.599,114,336,111
，他,DOWN,267.06,534,0.609,133,325,76
不想,DOWN,243.6691,512,0.596,138,305,69
么办,DOWN,235.4932,395,0.681,49,269,77
怎么办,DOWN,229.4604,379,0.689,45,261,73
不好,DOWN,226.4833,444,0.624,91,277,76
我说,DOWN,208.524,429,0.611,102,262,65
父母,DOWN,207.911,318,0.726,62,231,25
了，我,DOWN,207.8655,363,0.672,66,244,53
都没,DOWN,203.8056,449,0.588,83,264,102
我真,DOWN,195.1928,423,0.596,105,252,66
家里,DOWN,187.1096,388,0.613,86,238,64
说我,DOWN,183.0938,363,0.631,83,229,51
，现在,DOWN,170.5489,383,0.59,95,226,62
，说,DOWN,169.7323,334,0.638,52,213,69
我真的,DOWN,156.6006,320,0.628,72,201,47
家庭,DOWN,152.5149,292,0.654,72,191,29
跟我,DOWN,144.3829,320,0.603,88,193,39
我自,DOWN,141.5844,273,0.656,60,179,34
？我,DOWN,138.0317,305,0.607,67,185,53
男朋,DOWN,136.9352,296,0.615,67,182,47
男朋友,DOWN,136.9352,296,0.615,67,182,47
我没,DOWN,136.0393,235,0.702,39,165,31
钱，,DOWN,131.482,256,0.656,58,168,30
吧，,DOWN,124.468,298,0.584,65,174,59
我自己,DOWN,123.6301,245,0.653,57,160,28
我只,DOWN,119.2201,237,0.654,51,155,31
说了,DOWN,111.713,233,0.639,45,149,39
爸妈,DOWN,111.0466,205,0.688,49,141,15
是没,DOWN,103.6636,247,0.595,59,147,41
该怎,DOWN,100.3984,201,0.662,27,133,41
结婚,DOWN,99.1358,193,0.674,32,130,31
也没有,DOWN,98.7544,245,0.584,52,143,50
电话,DOWN,98.317,238,0.592,50,141,47
给他,DOWN,98.0286,192,0.672,39,129,24
该怎么,DOWN,97.9028,196,0.663,27,130,39
是想,DOWN,96.8268,226,0.606,51,137,38
可是,DOWN,95.7896,229,0.598,56,137,36
要不,DOWN,95.7551,217,0.618,44,134,39
的，我,DOWN,90.8932,195,0.641,32,125,38
，他们,DOWN,90.6558,188,0.654,47,123,18
我爸,DOWN,90.2585,140,0.779,15,109,16
说不,DOWN,90.1626,221,0.593,46,131,44
不起,DOWN,89.755,214,0.603,52,129,33
我妈,DOWN,87.3256,174,0.672,31,117,26
崩溃,DOWN,84.7227,155,0.71,28,110,17
，我也,DOWN,84.478,201,0.607,49,122,30
我现在,DOWN,83.5196,180,0.644,38,116,26
己，,DOWN,83.4668,204,0.598,59,122,23
我现,DOWN,83.1462,181,0.641,39,116,26
办法,DOWN,83.0987,201,0.602,51,121,29
自己，,DOWN,82.4327,203,0.596,59,121,23
说话,DOWN,80.9812,191,0.613,36,117,38
。一,DOWN,80.98,187,0.62,28,116,43
他说,DOWN,80.5672,165,0.667,25,110,30
想着,DOWN,80.3744,201,0.592,42,119,40
，我就,DOWN,79.7302,203,0.586,49,119,35
，怎么,DOWN,75.5527,163,0.65,25,106,32
了。我,DOWN,74.4669,133,0.729,25,97,11
，怎,DOWN,73.7358,168,0.631,29,106,33
痛苦,DOWN,73.6112,153,0.667,27,102,24
对象,DOWN,72.5464,141,0.695,17,98,26
，被,DOWN,72.1268,185,0.589,52,109,24
我已,DOWN,71.3832,179,0.598,46,107,26
生气,DOWN,71.3366,163,0.632,26,103,34
。但是,DOWN,71.3256,171,0.614,38,105,28
分手,DOWN,70.8299,124,0.742,11,92,21
。现,DOWN,70.6394,165,0.624,40,103,22
，家,DOWN,70.4554,150,0.66,43,99,8
。现在,DOWN,69.0393,150,0.653,35,98,17
觉得我,DOWN,68.3095,152,0.645,36,98,18
有，,DOWN,67.6273,170,0.6,36,102,32
辈子,DOWN,65.9948,171,0.591,39,101,31
她说,DOWN,65.5797,164,0.604,33,99,32
导致,DOWN,64.2414,144,0.646,24,93,27
我以,DOWN,64.1913,152,0.625,33,95,24
一直在,DOWN,63.9477,165,0.594,39,98,28
直在,DOWN,63.9477,165,0.594,39,98,28
我已经,DOWN,62.5443,157,0.605,37,95,25
到现,DOWN,61.8377,147,0.626,37,92,18
看不,DOWN,61.2345,157,0.599,30,94,33
。然,DOWN,61.1941,153,0.608,40,93,20
这件,DOWN,60.8443,150,0.613,26,92,32
为这,DOWN,60.5208,151,0.609,45,92,14
他，,DOWN,60.5206,139,0.64,20,89,30
难受,DOWN,59.3147,109,0.734,14,80,15
后续,DOWN,58.3579,158,0.582,38,92,28
回去,DOWN,58.2276,150,0.6,29,90,31
年了,DOWN,57.8765,131,0.649,26,85,20
，但是我,DOWN,57.5008,140,0.621,27,87,26
也不知,DOWN,57.2495,114,0.702,15,80,19
也不知道,DOWN,57.2495,114,0.702,15,80,19
给她,DOWN,56.9409,150,0.593,26,89,35
道我,DOWN,56.8688,130,0.646,24,84,22
跟他,DOWN,56.2341,99,0.758,11,75,13
到现在,DOWN,56.2125,128,0.648,34,83,11
我心,DOWN,56.0844,117,0.684,25,80,12
不好，,DOWN,55.6185,122,0.664,25,81,16
，只是,DOWN,55.3726,151,0.583,39,88,24
没有，,DOWN,55.3506,108,0.713,10,77,21
害怕,DOWN,55.2988,147,0.592,37,87,23
我。,DOWN,55.2096,127,0.646,27,82,18
我家,DOWN,54.9992,148,0.588,32,87,29
，我说,DOWN,54.97,120,0.667,21,80,19
之后，,DOWN,54.8661,128,0.641,28,82,18
我当,DOWN,54.8661,128,0.641,28,82,18
我才,DOWN,54.2235,138,0.609,30,84,24
室友,DOWN,53.8632,131,0.626,18,82,31
让他,DOWN,53.8632,131,0.626,27,82,22
。然后,DOWN,53.5576,124,0.645,29,80,15
两年,DOWN,53.2485,137,0.606,31,83,23
这件事,DOWN,53.2168,125,0.64,22,80,23
活费,DOWN,53.0914,96,0.75,15,72,9
生活费,DOWN,53.0914,96,0.75,15,72,9
要不要,DOWN,52.9058,122,0.648,22,79,21
，我真,DOWN,52.3959,112,0.679,14,76,22
帖子,DOWN,51.9266,133,0.609,26,81,26
上大,DOWN,51.498,107,0.692,15,74,18
没什,DOWN,51.455,143,0.58,36,83,24
没什么,DOWN,51.455,143,0.58,36,83,24
，可是,DOWN,51.0261,112,0.67,25,75,12
是没有,DOWN,50.925,128,0.617,25,79,24
吧。,DOWN,50.9131,124,0.629,25,78,21
个女,DOWN,50.7512,109,0.679,12,74,23
道是,DOWN,50.4195,138,0.587,24,81,33
严重,DOWN,50.1155,107,0.682,23,73,11
我知道,DOWN,49.9941,131,0.603,25,79,27
，为什,DOWN,49.6439,128,0.609,14,78,36
，为什么,DOWN,49.6439,128,0.609,14,78,36
失望,DOWN,49.4688,137,0.584,31,80,26
我知,DOWN,49.394,133,0.594,25,79,29
怀疑,DOWN,49.3003,125,0.616,32,77,16
讨厌,DOWN,49.2275,102,0.696,13,71,18
的钱,DOWN,49.2094,88,0.761,11,67,10
，一直,DOWN,49.0998,134,0.59,28,79,27
觉得自己,DOWN,48.964,122,0.623,25,76,21
知道我,DOWN,48.6468,115,0.643,21,74,20
是说,DOWN,48.3791,128,0.602,35,77,16
觉得自,DOWN,48.3357,124,0.613,27,76,21
的，但,DOWN,48.3135,120,0.625,27,75,18
几乎,DOWN,48.1514,133,0.586,37,78,18
要我,DOWN,48.0281,125,0.608,30,76,19
我以为,DOWN,47.7463,95,0.716,13,68,14
孩子，,DOWN,47.5309,92,0.728,21,67,4
没钱,DOWN,47.2179,76,0.816,6,62,8
不对,DOWN,47.1251,104,0.673,10,70,24
就说,DOWN,47.1251,104,0.673,8,70,26
吗？我,DOWN,46.8547,101,0.683,21,69,11
生家,DOWN,46.7432,77,0.805,10,62,5
知道是,DOWN,46.6964,113,0.637,19,72,22
原生家,DOWN,46.5826,68,0.868,5,59,4
原生家庭,DOWN,46.5826,68,0.868,5,59,4
回复,DOWN,46.4208,122,0.607,28,74,20
我一直,DOWN,46.2692,131,0.58,32,76,23
原生,DOWN,46.1042,72,0.833,7,60,5
生家庭,DOWN,46.0635,69,0.855,6,59,4
…我,DOWN,46.0537,111,0.64,22,71,18
说他,DOWN,46.0537,111,0.64,27,71,13
我没有,DOWN,45.7883,104,0.663,21,69,14
辛苦,DOWN,45.2461,126,0.587,34,74,18
无语,DOWN,44.8101,103,0.66,15,68,20
说她,DOWN,44.7739,107,0.645,15,69,23
会不会,DOWN,44.5257,120,0.6,21,72,27
发现我,DOWN,44.359,93,0.699,18,65,10
了之,DOWN,44.1382,113,0.619,23,70,20
反应,DOWN,43.8783,118,0.602,24,71,23
跟我说,DOWN,43.1885,112,0.616,32,69,11
了，不,DOWN,43.1677,108,0.63,16,68,24
我该,DOWN,43.0046,93,0.688,10,64,19
现我,DOWN,42.8689,101,0.653,24,66,11
长大,DOWN,42.5883,114,0.605,30,69,15
我感觉,DOWN,42.576,98,0.663,16,65,17
帮忙,DOWN,42.3666,119,0.588,20,70,29
床上,DOWN,42.2951,84,0.726,10,61,13
重，,DOWN,42.2943,95,0.674,16,64,15
矛盾,DOWN,42.1815,74,0.784,14,58,2
该怎么办,DOWN,42.1388,88,0.705,6,62,20
初中,DOWN,42.025,92,0.685,17,63,12
打电,DOWN,42.0061,116,0.595,19,69,28
打电话,DOWN,42.0061,116,0.595,19,69,28
在想,DOWN,41.5797,101,0.644,20,65,16
，于是,DOWN,41.4411,118,0.585,23,69,26
的父,DOWN,41.4064,90,0.689,14,62,14
阿姨,DOWN,41.3024,83,0.723,13,60,10
因为这,DOWN,41.2589,102,0.637,29,65,8
成这,DOWN,40.9829,95,0.663,18,63,14
就这样,DOWN,40.7211,112,0.598,18,67,27
掉了,DOWN,40.3711,109,0.606,23,66,20
我上,DOWN,40.3588,93,0.667,24,62,7
我不知,DOWN,40.3588,93,0.667,20,62,11
的要,DOWN,40.3284,105,0.619,22,65,18
我不知道,DOWN,39.737,91,0.67,19,61,11
好不,DOWN,39.7332,107,0.607,25,65,17
好了，,DOWN,39.6934,103,0.621,22,64,17
垃圾,DOWN,39.3927,104,0.615,13,64,27
不理,DOWN,39.3679,96,0.646,15,62,19
不回,DOWN,39.3669,100,0.63,19,63,18
我给,DOWN,39.157,109,0.596,23,65,21
学历,DOWN,38.8492,86,0.686,18,59,9
，我只,DOWN,38.7781,90,0.667,22,60,8
费，,DOWN,38.4627,103,0.612,32,63,8
，突,DOWN,38.4627,103,0.612,19,63,21
难过,DOWN,38.4292,99,0.626,19,62,18
，突然,DOWN,38.4292,99,0.626,16,62,21
。我不,DOWN,38.4222,95,0.642,23,61,11
么我,DOWN,38.4222,95,0.642,21,61,13
妈说,DOWN,38.3558,80,0.713,13,57,10
解释,DOWN,38.3263,112,0.58,24,65,23
弟弟,DOWN,38.2372,84,0.69,13,58,13
去了，,DOWN,38.1271,100,0.62,18,62,20
安慰,DOWN,38.1271,100,0.62,29,62,9
母的,DOWN,37.9308,74,0.743,14,55,5
不给,DOWN,37.8868,85,0.682,11,58,16
果我,DOWN,37.6888,110,0.582,28,64,18
，我真的,DOWN,37.628,82,0.695,9,57,16
，我想,DOWN,37.5435,86,0.674,11,58,17
还说,DOWN,37.3546,62,0.823,4,51,7
父母的,DOWN,37.3444,72,0.75,14,54,4
奶奶,DOWN,37.2754,83,0.687,18,57,8
妈的,DOWN,37.2754,83,0.687,20,57,6
难，,DOWN,37.1727,95,0.632,24,60,11
。还,DOWN,36.9071,100,0.61,23,61,16
成这样,DOWN,36.7841,77,0.714,11,55,11
家里人,DOWN,36.7585,57,0.86,3,49,5
天晚上,DOWN,36.5708,97,0.619,21,60,16
考研,DOWN,36.3371,102,0.598,27,61,14
，因为我,DOWN,36.2777,98,0.612,30,60,8
说什,DOWN,36.1872,75,0.72,11,54,10
说什么,DOWN,36.1872,75,0.72,11,54,10
天晚,DOWN,35.9898,99,0.606,23,60,16
我跟,DOWN,35.944,95,0.621,20,59,16
系，,DOWN,35.7862,104,0.587,33,61,10
可是我,DOWN,35.7114,80,0.688,18,55,7
。结,DOWN,35.7069,100,0.6,31,60,9
后，我,DOWN,35.6191,92,0.63,22,58,12
啊。,DOWN,35.5176,105,0.581,25,61,19
而已,DOWN,35.369,81,0.679,12,55,14
钱。,DOWN,35.2042,67,0.761,9,51,7
还好,DOWN,35.1555,102,0.588,19,60,23
要回,DOWN,35.0445,64,0.781,7,50,7
且我,DOWN,35.0249,94,0.617,24,58,12
出去玩,DOWN,34.6851,87,0.644,12,56,19
恶心,DOWN,34.6294,72,0.722,10,52,10
里人,DOWN,34.6294,72,0.722,7,52,13
医院,DOWN,34.5045,76,0.697,12,53,11
伤害,DOWN,34.4186,69,0.739,7,51,11
我只是,DOWN,34.3839,84,0.655,18,55,11
没办,DOWN,34.3775,88,0.636,21,56,11
的人。,DOWN,34.3775,88,0.636,21,56,11
好意,DOWN,34.0945,81,0.667,12,54,15
去。,DOWN,34.0689,85,0.647,20,55,10
就给,DOWN,34.0402,70,0.729,10,51,9
我今,DOWN,33.8372,67,0.746,13,50,4
么回,DOWN,33.8182,78,0.679,5,53,20
妈，,DOWN,33.5563,75,0.693,18,52,5
，当时,DOWN,33.5484,95,0.6,25,57,13
什么我,DOWN,33.4863,79,0.671,17,53,9
累，,DOWN,33.4549,68,0.735,15,50,3
好累,DOWN,33.3759,58,0.81,8,47,3
二十,DOWN,33.2049,92,0.609,26,56,10
找不到,DOWN,33.1607,88,0.625,20,55,13
了，就,DOWN,33.0051,97,0.588,22,57,18
不清,DOWN,32.9254,93,0.602,21,56,16
找不,DOWN,32.9254,93,0.602,20,56,17
有问,DOWN,32.9254,93,0.602,26,56,11
年了，,DOWN,32.8807,77,0.675,12,52,13
医生,DOWN,32.8435,81,0.654,11,53,17
同意,DOWN,32.8325,56,0.821,5,46,5
后他,DOWN,32.7184,70,0.714,12,50,8
去找,DOWN,32.6142,74,0.689,12,51,11
没办法,DOWN,32.5436,86,0.628,21,54,11
上大学,DOWN,32.4972,67,0.731,6,49,12
吵架,DOWN,32.2519,87,0.621,7,54,26
的父母,DOWN,32.1301,68,0.721,10,49,9
么的,DOWN,32.117,96,0.583,21,56,19
问他,DOWN,32.0168,72,0.694,7,50,15
不算,DOWN,31.9658,88,0.614,23,54,11
知道怎,DOWN,31.9495,76,0.671,15,51,10
道怎,DOWN,31.9219,80,0.65,16,52,12
我也没,DOWN,31.9164,65,0.738,7,48,10
。。。。,DOWN,31.76,93,0.591,14,55,24
手，,DOWN,31.76,93,0.591,23,55,15
见了,DOWN,31.6282,77,0.662,14,51,12
母亲,DOWN,31.5457,66,0.727,14,48,4
。结果,DOWN,31.3495,86,0.616,24,53,9
前我,DOWN,31.3161,82,0.634,23,52,7
来没有,DOWN,31.3161,82,0.634,14,52,16
个男,DOWN,31.3141,78,0.654,10,51,17
说过,DOWN,31.3141,78,0.654,16,51,11
塌了,DOWN,31.0247,75,0.667,5,50,20
关系，,DOWN,30.7089,76,0.658,22,50,4
家长,DOWN,30.6156,93,0.581,29,54,10
，跟,DOWN,30.6156,93,0.581,22,54,17
检查,DOWN,30.6004,65,0.723,11,47,7
精力,DOWN,30.5227,89,0.596,28,53,8
岁，,DOWN,30.4536,85,0.612,25,52,8
干什,DOWN,30.4001,77,0.649,10,50,17
我爸妈,DOWN,30.3479,40,0.975,0,39,1
学了,DOWN,30.2577,90,0.589,24,53,13
）我,DOWN,30.1776,86,0.605,14,52,20
好意思,DOWN,30.1532,70,0.686,8,48,14
的孩子,DOWN,30.0981,78,0.641,21,50,7
不明,DOWN,30.0206,63,0.73,7,46,10
有种,DOWN,29.9977,91,0.582,20,53,18
我回,DOWN,29.8026,79,0.633,22,50,7
的孩,DOWN,29.8026,79,0.633,22,50,7
从来不,DOWN,29.6419,88,0.591,30,52,6
我真的很,DOWN,29.6395,57,0.772,8,44,5
……我,DOWN,29.5608,68,0.691,12,47,9
，我觉,DOWN,29.5135,80,0.625,12,50,18
，我觉得,DOWN,29.5135,80,0.625,12,50,18
干什么,DOWN,29.4928,76,0.645,10,49,17
样的，,DOWN,29.3818,89,0.584,19,52,18
我问,DOWN,29.2936,85,0.6,15,51,19
后她,DOWN,29.2918,48,0.854,3,41,4
回国,DOWN,29.2306,81,0.617,20,50,11
我当时,DOWN,29.1948,73,0.658,17,48,8
说要,DOWN,29.1948,73,0.658,6,48,19
。但我,DOWN,29.0823,62,0.726,9,45,8
们说,DOWN,28.9716,66,0.697,8,46,12
，家里,DOWN,28.91,70,0.671,17,47,6
父亲,DOWN,28.9062,78,0.628,20,49,9
还没有,DOWN,28.7679,87,0.586,28,51,8
什么的,DOWN,28.6822,83,0.602,15,50,18
男友,DOWN,28.5963,71,0.662,18,47,6
的，但是,DOWN,28.386,64,0.703,14,45,5
。今天,DOWN,28.3448,80,0.613,20,49,11
道怎么,DOWN,28.3013,76,0.632,16,48,12
知道怎么,DOWN,28.2901,72,0.653,15,47,10
是我自,DOWN,28.1508,61,0.721,11,44,6
造成,DOWN,28.1337,54,0.778,8,42,4
尊重,DOWN,28.073,81,0.605,11,49,21
道他,DOWN,28.0515,65,0.692,14,45,6
在家里,DOWN,28.0167,77,0.623,19,48,10
情是,DOWN,28.0167,77,0.623,13,48,16
怎么回,DOWN,28.0007,69,0.667,5,46,18
了，还,DOWN,27.9009,86,0.581,20,50,16
我怎么,DOWN,27.807,82,0.598,23,49,10
知道该,DOWN,27.8042,62,0.71,8,44,10
道该,DOWN,27.8042,62,0.71,8,44,10
等我,DOWN,27.7384,78,0.615,15,48,15
我该怎,DOWN,27.7257,66,0.682,8,45,13
我该怎么,DOWN,27.7257,66,0.682,8,45,13
了之后,DOWN,27.6989,74,0.635,14,47,13
而且我,DOWN,27.6928,70,0.657,14,46,10
，我自,DOWN,27.5838,52,0.788,6,41,5
想起来,DOWN,27.5464,83,0.59,24,49,10
我怎,DOWN,27.5464,83,0.59,24,49,10
，后来,DOWN,27.4134,75,0.627,18,47,10
的说,DOWN,27.4081,67,0.672,4,45,18
，他说,DOWN,27.3924,71,0.648,11,46,14
况下,DOWN,27.2912,84,0.583,24,49,11
情况下,DOWN,27.2912,84,0.583,24,49,11
，我很,DOWN,27.2262,60,0.717,9,43,8
谈恋,DOWN,27.1997,80,0.6,20,48,12
谈恋爱,DOWN,27.1997,80,0.6,20,48,12
对她,DOWN,27.1385,64,0.688,7,44,13
楼下,DOWN,27.1344,76,0.618,20,47,9
不知道该,DOWN,27.0062,57,0.737,5,42,10
。想,DOWN,26.9389,81,0.593,20,48,13
么还,DOWN,26.9243,47,0.83,3,39,5
删了,DOWN,26.9243,47,0.83,6,39,2
为她,DOWN,26.8615,77,0.61,20,47,10
几次,DOWN,26.8615,77,0.61,15,47,15
道自己,DOWN,26.8126,73,0.63,14,46,13
根本没,DOWN,26.7965,69,0.652,16,45,8
一辈,DOWN,26.6836,82,0.585,25,48,9
苦，,DOWN,26.6836,82,0.585,18,48,16
是我自己,DOWN,26.6523,58,0.724,10,42,6
有问题,DOWN,26.5947,78,0.603,21,47,10
找个,DOWN,26.5547,62,0.694,4,43,15
说自,DOWN,26.5547,62,0.694,10,43,9
了，但是,DOWN,26.5019,70,0.643,14,45,11
我听,DOWN,26.4409,55,0.745,5,41,9
，我当,DOWN,26.4038,45,0.844,5,38,2
和男,DOWN,26.2593,75,0.613,14,46,15
道自,DOWN,26.2593,75,0.613,16,46,13
可怜,DOWN,26.2546,52,0.769,2,40,10
不知道怎,DOWN,26.2325,63,0.683,10,43,10
学费,DOWN,26.2325,63,0.683,17,43,3
有事,DOWN,26.2143,71,0.634,13,45,13
想让,DOWN,26.2035,67,0.657,15,44,8
无意,DOWN,26.0829,56,0.732,8,41,7
绝望,DOWN,26.0829,56,0.732,10,41,5
来也,DOWN,26.0782,80,0.588,22,47,11
家了,DOWN,25.992,76,0.605,21,46,9
麻烦,DOWN,25.992,76,0.605,12,46,18
不好意,DOWN,25.9746,60,0.7,6,42,12
不好意思,DOWN,25.9746,60,0.7,6,42,12
妹妹,DOWN,25.9336,72,0.625,19,45,8
知道自,DOWN,25.9336,72,0.625,14,45,13
知道自己,DOWN,25.9336,72,0.625,14,45,13
，也没,DOWN,25.9336,72,0.625,11,45,16
不来,DOWN,25.9189,64,0.672,12,43,9
承认,DOWN,25.9189,64,0.672,11,43,10
么要,DOWN,25.9075,68,0.647,12,44,12
为什么我,DOWN,25.7355,57,0.719,11,41,5
了，一,DOWN,25.6595,73,0.616,10,45,18
亲戚,DOWN,25.6498,61,0.689,9,42,10
知道他,DOWN,25.6498,61,0.689,13,42,6
说自己,DOWN,25.6498,61,0.689,10,42,9
办，,DOWN,25.6188,69,0.638,11,44,14
听不,DOWN,25.6135,65,0.662,9,43,13
觉我,DOWN,25.6135,65,0.662,14,43,8
我大,DOWN,25.3917,74,0.608,14,45,15
种情况,DOWN,25.3917,74,0.608,9,45,20
，本来,DOWN,25.3159,66,0.652,15,43,8
，我妈,DOWN,25.162,48,0.792,4,38,6
象，,DOWN,25.0622,71,0.62,10,44,17
都没有，,DOWN,25.0324,45,0.822,3,37,5
直不,DOWN,25.0266,63,0.667,10,42,11
没事,DOWN,25.026,67,0.642,15,43,9
这样的，,DOWN,25.026,67,0.642,9,43,15
办？,DOWN,24.8742,76,0.592,15,45,16
。也,DOWN,24.7938,72,0.611,20,44,8
我不想,DOWN,24.7938,72,0.611,17,44,11
舍友,DOWN,24.7938,72,0.611,11,44,17
走出,DOWN,24.7938,72,0.611,16,44,12
想知,DOWN,24.7432,68,0.632,7,43,18
想知道,DOWN,24.7432,68,0.632,7,43,18
刚开始,DOWN,24.7274,64,0.656,14,42,8
我小,DOWN,24.7274,64,0.656,15,42,7
付出,DOWN,24.6241,77,0.584,17,45,15
打了,DOWN,24.6241,77,0.584,16,45,16
不愿意,DOWN,24.5317,73,0.603,10,44,19
消失,DOWN,24.5317,73,0.603,11,44,18
父母，,DOWN,24.5119,43,0.837,4,36,3
里。,DOWN,24.4675,69,0.623,9,43,17
于是我,DOWN,24.4429,61,0.672,14,41,6
，我爸,DOWN,24.4419,40,0.875,2,35,3
我心里,DOWN,24.4039,50,0.76,8,38,4
刚开,DOWN,24.2757,74,0.595,17,44,13
说没,DOWN,24.2757,74,0.595,13,44,17
商量,DOWN,24.2582,54,0.722,10,39,5
作了,DOWN,24.1985,70,0.614,14,43,13
面前,DOWN,24.1985,70,0.614,10,43,17
到工,DOWN,24.1745,58,0.69,13,40,5
什么要,DOWN,24.1522,66,0.636,12,42,12
母，,DOWN,24.097,44,0.818,4,36,4
我身,DOWN,24.0255,75,0.587,26,44,5
么办，,DOWN,23.8627,59,0.678,5,40,14
办公室,DOWN,23.8627,59,0.678,15,40,4
怎么办，,DOWN,23.8627,59,0.678,5,40,14
里没,DOWN,23.8627,59,0.678,9,40,10
婚，,DOWN,23.849,63,0.651,9,41,13
样了,DOWN,23.849,63,0.651,10,41,12
知道为,DOWN,23.849,63,0.651,11,41,11
道为,DOWN,23.849,63,0.651,11,41,11
，然后我,DOWN,23.849,63,0.651,11,41,11
么办？,DOWN,23.6796,72,0.597,14,43,15
儿子,DOWN,23.6796,72,0.597,11,43,18
出生,DOWN,23.6796,72,0.597,21,43,8
怎么办？,DOWN,23.6796,72,0.597,14,43,15
在学校,DOWN,23.6058,68,0.618,17,42,9
我应,DOWN,23.6003,56,0.696,14,39,3
始就,DOWN,23.5639,64,0.641,17,41,6
开始就,DOWN,23.5639,64,0.641,17,41,6
为什么要,DOWN,23.5597,60,0.667,9,40,11
，导,DOWN,23.5597,60,0.667,15,40,5
办啊,DOWN,23.4896,49,0.755,8,37,4
什么事,DOWN,23.4293,73,0.589,14,43,16
是这个,DOWN,23.4293,73,0.589,14,43,16
。最近,DOWN,23.3572,53,0.717,9,38,6
我无,DOWN,23.3427,69,0.609,19,42,8
可我,DOWN,23.3126,46,0.783,4,36,6
我今天,DOWN,23.3126,46,0.783,8,36,2
，可是我,DOWN,23.3126,46,0.783,8,36,2
。我也,DOWN,23.286,57,0.684,14,39,4
因为一,DOWN,23.286,57,0.684,11,39,7
公室,DOWN,23.2651,61,0.656,15,40,6
感觉我,DOWN,23.2651,61,0.656,13,40,8
我太,DOWN,23.1848,74,0.581,21,43,10
理由,DOWN,23.1848,74,0.581,11,43,20
，你们,DOWN,23.1848,74,0.581,14,43,17
己没,DOWN,23.169,43,0.814,7,35,1
很差,DOWN,23.169,43,0.814,4,35,4
自己没,DOWN,23.169,43,0.814,7,35,1
发这,DOWN,23.1363,50,0.74,4,37,9
吧，我,DOWN,23.1363,50,0.74,6,37,7
我应该,DOWN,23.1363,50,0.74,10,37,3
多久,DOWN,23.0157,66,0.621,17,41,8
的消,DOWN,23.0157,66,0.621,14,41,11
起了,DOWN,23.0157,66,0.621,15,41,10
好难,DOWN,22.9809,58,0.672,7,39,12
也不想,DOWN,22.9786,62,0.645,17,40,5
男的,DOWN,22.9786,62,0.645,10,40,12
业就,DOWN,22.9414,47,0.766,6,36,5
是能,DOWN,22.8356,71,0.592,19,42,10
个女生,DOWN,22.7769,44,0.795,3,35,6
，说不,DOWN,22.713,55,0.691,9,38,8
不理解,DOWN,22.6999,63,0.635,14,40,9
学校，,DOWN,22.6999,63,0.635,18,40,5
老婆,DOWN,22.6999,63,0.635,12,40,11
不知道怎么,DOWN,22.6845,59,0.661,10,39,10
去世,DOWN,22.6486,41,0.829,0,34,7
，导致,DOWN,22.6486,41,0.829,3,34,4
一辈子,DOWN,22.5911,72,0.583,24,42,6
了五,DOWN,22.5911,72,0.583,22,42,8
对这,DOWN,22.5911,72,0.583,18,42,12
了，也,DOWN,22.5831,48,0.75,7,36,5
婚的,DOWN,22.5831,48,0.75,8,36,4
了，他,DOWN,22.4951,68,0.603,15,41,12
受。,DOWN,22.4641,52,0.712,12,37,3
是这样的，,DOWN,22.4285,64,0.625,9,40,15
一点都,DOWN,22.4055,56,0.679,12,38,6
和男朋,DOWN,22.4055,56,0.679,8,38,10
和男朋友,DOWN,22.4055,56,0.679,8,38,10
跟她,DOWN,22.3964,60,0.65,14,39,7
我真的不,DOWN,22.2486,42,0.81,7,34,1
这种情况,DOWN,22.2444,69,0.594,8,41,20
一个女,DOWN,22.2371,49,0.735,3,36,10
我分,DOWN,22.144,53,0.698,11,37,5
得他,DOWN,22.1164,61,0.639,8,39,14
过。,DOWN,22.1164,61,0.639,14,39,8
钱了,DOWN,22.1164,61,0.639,16,39,6
也说,DOWN,22.0355,46,0.761,7,35,4
沉默,DOWN,21.9067,66,0.606,14,40,12
着他,DOWN,21.9067,66,0.606,11,40,15
，昨,DOWN,21.9067,66,0.606,10,40,16
的伤,DOWN,21.864,43,0.791,6,34,3
在路,DOWN,21.8441,62,0.629,15,39,8
些事,DOWN,21.8339,54,0.685,15,37,2
因为他,DOWN,21.8175,58,0.655,11,38,9
好我,DOWN,21.8175,58,0.655,12,38,8
想我,DOWN,21.8175,58,0.655,14,38,6
我的生,DOWN,21.6558,67,0.597,23,40,4
的情况下,DOWN,21.6558,67,0.597,19,40,8
情，我,DOWN,21.6361,37,0.865,4,32,1
回事,DOWN,21.5791,63,0.619,8,39,16
说，我,DOWN,21.5791,63,0.619,18,39,6
我生,DOWN,21.5361,59,0.644,16,38,5
道歉,DOWN,21.5333,55,0.673,9,37,9
一直不,DOWN,21.494,44,0.773,1,34,9
个多,DOWN,21.4111,68,0.588,21,40,7
有办,DOWN,21.3459,48,0.729,8,35,5
应，,DOWN,21.3211,64,0.609,11,39,14
群里,DOWN,21.2626,60,0.633,13,38,9
天塌,DOWN,21.2418,56,0.661,4,37,15
天塌了,DOWN,21.2418,56,0.661,4,37,15
一直没,DOWN,21.1377,45,0.756,5,34,6
无奈,DOWN,21.1377,45,0.756,8,34,3
直没,DOWN,21.1377,45,0.756,5,34,6
小到,DOWN,21.0698,65,0.6,20,39,6
